date,county,region,fips,first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated,new_booster_dose_administered,current_as_of
2020-12-17,Elkhart,2,18039,5,0,0,5,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Floyd,9,18043,31,0,0,31,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Franklin,9,18047,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Gibson,10,18051,17,0,0,17,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Grant,6,18053,6,0,0,6,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Greene,7,18055,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Hamilton,5,18057,89,0,0,89,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Hancock,5,18059,12,0,0,12,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Harrison,9,18061,13,0,0,13,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Hendricks,5,18063,22,0,0,22,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Henry,6,18065,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Howard,6,18067,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Huntington,3,18069,10,0,0,10,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Jackson,8,18071,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Jasper,1,18073,6,0,0,6,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Jay,6,18075,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Jefferson,9,18077,39,0,0,39,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Jennings,9,18079,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Johnson,5,18081,47,1,0,48,1,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Knox,10,18083,35,0,0,35,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Kosciusko,2,18085,8,0,0,8,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,La Porte,1,18091,6,0,0,6,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Lake,1,18089,239,1,0,240,1,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Lawrence,8,18093,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Madison,6,18095,11,0,0,11,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Marion,5,18097,233,0,0,233,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Marshall,2,18099,5,0,0,5,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Monroe,8,18105,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Morgan,5,18109,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Newton,1,18111,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Noble,3,18113,14,0,0,14,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Orange,8,18117,5,0,0,5,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Out of State,Out of State,Out of State,286,0,0,286,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Pike,10,18125,4,0,0,4,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Porter,1,18127,57,0,1,58,1,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Posey,10,18129,66,0,0,66,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Pulaski,2,18131,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Putnam,7,18133,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
